orig.ident,celltype_major,full_hallmark_emt,full_epithelial,panel313_measured_hallmark,panel280_measured_hallmark,panel313_tf_candidate,panel280_tf_candidate,panel313_full_fit_prediction,panel280_full_fit_prediction,n_cells
CID3838,PVL,0.67133919274882,0.07080074367539628,2.136854010182154,1.9967789621047027,0.17088607594936708,0.15822784810126583,0.6087735548242125,0.6024514964437735,158
CID3838,Plasmablasts,0.10825027808892523,0.011966395012334577,0.26371264013641965,0.27829287119730584,0.0196078431372549,0.0196078431372549,0.14717338225397844,0.1603540535052921,51
CID3838,T-cells,0.1738469974299622,0.006844424902185728,0.23846490120766015,0.2469415817046097,0.006661732050333087,0.006661732050333087,0.17014932675639186,0.17827495950091554,1351
CID3921,B-cells,0.0922430785439058,0.017446358447744507,0.10365275247226756,0.10936875268126243,0.0,0.0,0.11106913605672968,0.11508340064248102,162
CID3921,CAFs,0.8457032198480873,0.04077849422866805,2.5731223067592017,2.5027587568956764,0.03773584905660377,0.03773584905660377,0.602219285003344,0.5832265364069285,106
CID3921,Cancer Epithelial,0.17191184026090173,1.440903431210253,0.4568544187502228,0.4868122697190602,0.006802721088435374,0.006802721088435374,0.18871431659421498,0.18808563685263735,441
CID3921,Endothelial,0.3543537350605254,0.08963520451904054,0.35091833988759713,0.36901625820022554,0.09047619047619047,0.09047619047619047,0.23633578586843498,0.23188732160336747,210
CID3921,Myeloid,0.2565977931994651,0.015298630414226862,0.40696531630312227,0.4373797734744632,0.012987012987012988,0.012987012987012988,0.2366871759884704,0.2513453534794315,385
CID3921,PVL,0.5200368685425384,0.06859915959127147,1.2877153557742516,1.1932733160504143,0.05555555555555555,0.05555555555555555,0.4172562968454801,0.406001852416804,72
CID3921,Plasmablasts,0.05651670183853956,0.012810533146822102,0.06618997004969596,0.07189279718355575,0.0,0.0,0.1057988127228124,0.11456579226908876,175
CID3921,T-cells,0.13061598079139392,0.005726281380828317,0.13108441681411762,0.13729297542926347,0.0013577732518669382,0.0013577732518669382,0.14099526536547238,0.14549599703487046,1473
CID3941,B-cells,0.07178941600883151,0.0024887330914244656,0.14061921768933178,0.1484173412735811,0.0,0.0,0.10461428357122989,0.10900202129615534,55
CID3941,CAFs,0.48710610249904185,0.0071737223381388064,1.1444220846619066,1.0092573070623065,0.0,0.0,0.36645837691306493,0.3569933103079818,8
CID3941,Cancer Epithelial,0.12276033500376689,0.8106399830070592,0.09701821202760949,0.09104821515520825,0.0,0.0,0.135901425084135,0.13598153102179622,196
CID3941,Endothelial,0.31921496394860616,0.11543342602823245,0.40220950744297074,0.42781762317441335,0.045454545454545456,0.045454545454545456,0.2358767954560483,0.24184459154790164,44
CID3941,Myeloid,0.124915370932424,0.009075428411780547,0.19996475950492945,0.21612186748123685,0.0,0.0,0.15751460315848217,0.16510168349487522,37
CID3941,PVL,0.52900287717942,0.033083794369475734,1.2186113399546996,1.048520813058566,0.0,0.0,0.40013355835865255,0.38492688818706533,25
CID3941,T-cells,0.10442478509440771,0.0021939809372946806,0.09861191607072743,0.10337548761438824,0.0,0.0,0.135872498453723,0.13899003480697836,266
CID3946,CAFs,0.5075524433040579,0.03835231588006062,1.1895456206708304,0.9991424417579345,0.023952095808383235,0.017964071856287425,0.3630876143522359,0.34203892372699624,167
CID3946,Endothelial,0.16614476750743667,0.04654600800994622,0.22740089526053828,0.23633526505430666,0.00909090909090909,0.00909090909090909,0.1459887706575927,0.15163530287980007,110
CID3946,Myeloid,0.16893008885996785,0.007236167432200248,0.09604467084751257,0.1007688902664348,0.0,0.0,0.16187898265377482,0.1668867088761891,157
CID3946,PVL,0.3226139423619211,0.023635534085183284,0.7316051327629574,0.6325980111307306,0.008064516129032258,0.008064516129032258,0.2581259696905006,0.25183397133991087,248
CID3946,T-cells,0.1002893719939497,0.011450409618115899,0.07440471260526238,0.06932672217570014,0.0,0.0,0.12152522991063282,0.12473819473181974,92
CID3948,B-cells,0.0790490816622167,0.020291492564036926,0.049540206490210195,0.0522117528309049,0.0,0.0,0.10475904471220934,0.10635918884215072,85
CID3948,CAFs,0.7965473236813789,0.030334169822591715,1.9708503373945518,1.907399635496952,0.0,0.0,0.4981113774644727,0.49095296427894797,15
CID3948,Cancer Epithelial,0.1661963829469307,1.3460100684421028,0.2872640161331295,0.3073755404116852,0.011494252873563218,0.011494252873563218,0.1755105432914985,0.1744280033432098,261
CID3948,Endothelial,0.2678116528662239,0.07909179077411145,0.2840101112718101,0.30166894280194567,0.023529411764705882,0.023529411764705882,0.1754187686185502,0.18175605110769677,85
CID3948,Myeloid,0.21061014405221634,0.019423918847034885,0.24279112808049452,0.26318181838027355,0.0,0.0,0.2041691795555523,0.2155363828339809,122
CID3948,PVL,0.39515524949522823,0.031279169445247654,0.6917685875560571,0.6450510960459555,0.0,0.0,0.28663945189808854,0.2917783296422069,62
CID3948,Plasmablasts,0.0791975274742671,0.01589417117146428,0.05648959490569013,0.060282706374946066,0.0,0.0,0.1121575662800211,0.12186459243049828,232
CID3948,T-cells,0.10795380747424617,0.01196897359445029,0.08752878916430402,0.09147031183316953,0.0,0.0,0.1323371937080706,0.13608665137126633,1465
CID3963,CAFs,0.6357842888416423,0.0749757953059971,1.7925127745196552,1.6880172541913334,0.21739130434782608,0.21739130434782608,0.49866013454221997,0.4864347249279022,23
CID3963,Cancer Epithelial,0.21070797065274666,1.1008477190519819,0.2772766878406747,0.2942095057474305,0.0045045045045045045,0.0045045045045045045,0.21748105307169285,0.21741967573978158,222
CID3963,Endothelial,0.3194327986856562,0.05886732727571736,0.32365973737754067,0.3398109604072253,0.0196078431372549,0.0196078431372549,0.19911262668478383,0.20014026059940926,102
CID3963,Myeloid,0.23736695873699637,0.015627056214157154,0.2622699743546818,0.2827256703904345,0.010438413361169102,0.010438413361169102,0.23309367569197809,0.24555916221912474,479
CID3963,Normal Epithelial,0.18850434770179075,1.1215235679242368,0.56528290217494,0.6419663847793761,0.0,0.0,0.20237485058227123,0.20385797089670019,1
CID3963,PVL,0.5414421083083756,0.08534940114451241,1.2541115346190321,1.1188743774264764,0.03571428571428571,0.03571428571428571,0.4372305377827826,0.4263691189030392,28
CID3963,T-cells,0.13873138560207524,0.006266025842335876,0.13043980382632206,0.1366258221987061,0.00037425149700598805,0.00037425149700598805,0.1496372406040828,0.15724122210203723,2672
CID4040,B-cells,0.10456770558571851,0.009770154462057236,0.29262876147727024,0.29890799568307974,0.0,0.0,0.10679738471427296,0.10972293648444653,105
CID4040,CAFs,0.8523676463546442,0.05039738761425687,2.878048367426513,2.7706959895150534,0.2248062015503876,0.2248062015503876,0.6596953989953909,0.6445116720173449,129
CID4040,Endothelial,0.38738460060879903,0.11055502014099094,0.749107749463632,0.7840533019399755,0.2798165137614679,0.2706422018348624,0.30390112387940726,0.30979468912821434,218
CID4040,Myeloid,0.2331686875234337,0.02162184386542696,0.4875557162713401,0.5163390320255445,0.02,0.02,0.23804194480384885,0.24934642986701042,50
CID4040,PVL,0.5848564933512865,0.06220066240172991,1.8061492022451113,1.6594860000124736,0.17607223476297967,0.16478555304740405,0.5499078269818198,0.5403857981501256,443
CID4040,Plasmablasts,0.05423715887445176,0.011176211702912935,0.22434069062450557,0.23360881678942752,0.0,0.0,0.11104227721368513,0.12235542134721875,74
CID4040,T-cells,0.15246338266017875,0.011519703716042296,0.19718161872048712,0.20331755180838826,0.001984126984126984,0.0013227513227513227,0.15463062491259047,0.1606236880606592,1512
CID4066,B-cells,0.07606990887293949,0.03711721279620484,0.07929765162627449,0.083520849516409,0.0,0.0,0.0995218138801224,0.1029061945286018,38
CID4066,CAFs,0.8400107741946865,0.03482539541795428,2.383152860008366,2.259278194399297,0.01950162513542795,0.01950162513542795,0.5637657026113655,0.5526596789197432,923
CID4066,Cancer Epithelial,0.15952825213687147,1.4855425580549615,0.2574397425258561,0.2649924012380028,0.0019193857965451055,0.0019193857965451055,0.1755966092465256,0.17474973769779203,521
CID4066,Endothelial,0.2877987840226445,0.07535047578210947,0.36864131269989187,0.38309535268838746,0.03364485981308411,0.03364485981308411,0.20386713578853993,0.20812402008647746,535
CID4066,Myeloid,0.2010094490373151,0.012028474415324375,0.32159715628523045,0.34590450561107033,0.00904977375565611,0.00904977375565611,0.20027017582268208,0.2101434557812075,221
CID4066,Normal Epithelial,0.31395975704976176,0.9314389139470001,0.8495982758689862,0.9053981565627959,0.0,0.0,0.25671782183144115,0.2554263687475609,270
CID4066,PVL,0.48897853520567297,0.04146311598131113,1.1718265511144088,1.0319051537632122,0.01904761904761905,0.01904761904761905,0.39845999582876457,0.3871467486509872,630
CID4066,T-cells,0.1150010428520684,0.0176876094920094,0.10858801298920312,0.11336442385703652,0.00046061722708429296,0.00046061722708429296,0.12901887004549553,0.1318117275803722,2171
CID4067,B-cells,0.06718138816736408,0.008753402135661685,0.0747571839685323,0.07874496051587417,0.0,0.0,0.09666032505101912,0.09924787385455133,53
CID4067,CAFs,0.8400574018858075,0.027510795564971456,2.554274817704301,2.4881562341935606,0.007407407407407408,0.007407407407407408,0.5482234874245271,0.5456229112534348,135
CID4067,Cancer Epithelial,0.1727132950991299,1.105087566079012,0.21638914325517244,0.22317786502987177,0.0012755102040816326,0.0012755102040816326,0.17759100214364887,0.17613568935060106,2352
CID4067,Endothelial,0.232085876299981,0.0571958441288505,0.21928711519328173,0.22956532854822784,0.005376344086021506,0.005376344086021506,0.1850610656699722,0.18838236281622137,186
CID4067,Myeloid,0.20873554508516873,0.01281437603636924,0.3200178244975348,0.34569639085442116,0.0037593984962406013,0.0037593984962406013,0.20059209402796893,0.21179916165928095,266
