sample,patient,radius_um,null,mark,n_cells,n_positive,n_strata,n_positive_in_frozen_strata,expected_pairs_analytic,statistic,observed,null_mean,null_sd,null_025,null_975,observed_over_null_mean,p_permutation,p_holm_all_configurations_per_statistic,p_holm_primary_three_sections
NCBI784,P07,150,global,coexpression,34650,706,1,0,1794.1959269702645,positive_pairs,2260.0,1794.2031015507755,65.33574465723268,1668.95,1926.0,1.2596121353522487,0.0005,0.015,
NCBI784,P07,150,global,coexpression,34650,706,1,0,1794.1959269702645,qualifying_centers,128.0,1.0290145072536268,4.276382352563316,0.0,11.0,124.39086047642198,0.0005,0.015,
NCBI784,P07,150,global,coexpression,34650,706,1,0,1794.1959269702645,maximum_local_z,9.265285403934818,4.470633579405823,0.5850317562528567,3.578559995430539,5.825098343129831,2.0724770302392432,0.0005,0.015,
NCBI784,P07,150,technical,coexpression,34650,706,180,0,1982.8774928978687,positive_pairs,2260.0,1983.6218109054528,65.39609080989075,1854.95,2112.0,1.1393300817600862,0.001,0.015,
NCBI784,P07,150,technical,coexpression,34650,706,180,0,1982.8774928978687,qualifying_centers,128.0,7.899449724862431,12.519949833812829,0.0,47.0,16.203660312836426,0.0005,0.015,
NCBI784,P07,150,technical,coexpression,34650,706,180,0,1982.8774928978687,maximum_local_z,6.95854233179711,4.51513277465197,0.6508950133822903,3.5544460699846976,6.049274813398274,1.5411600675095276,0.0025,0.055,
NCBI784,P07,150,context,coexpression,34650,706,547,0,1900.9207171343658,positive_pairs,2260.0,1901.4762381190594,64.29063381435572,1782.95,2035.05,1.188550219399845,0.0005,0.015,
NCBI784,P07,150,context,coexpression,34650,706,547,0,1900.9207171343658,qualifying_centers,128.0,37.81990995497749,33.19499196088439,1.0,123.09999999999991,3.3844607285521544,0.023,0.299,
NCBI784,P07,150,context,coexpression,34650,706,547,0,1900.9207171343658,maximum_local_z,5.271298279067858,4.456850620431848,0.600511709715973,3.545964152411365,5.879315732725414,1.1827406229193058,0.0935,1.0,
NCBI783,P08,50,global,coexpression,14453,912,1,0,508.6905379030101,positive_pairs,569.0,509.4567283641821,24.762879551971665,463.0,559.0,1.1168760138412654,0.009,0.063,
